food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g,SReachcat_x,SReachcat_y
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,5.8e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.8e-05,6.1e-05,0.0018800000000000002,0.00166597
7,Vitamin B-6,Vitamin B-6,G,0.000192,0.00015,0.00073,0.000828
7,Vitamin B-6,Vitamin B-6,G,0.00033,0.000343,0.00073,0.000828
1,Vitamin B-6,Vitamin B-6,G,3.6e-05,6.1e-05,0.0018800000000000002,0.00166597
7,Vitamin B-6,Vitamin B-6,G,0.000208,0.000335,0.00073,0.000828
11,Vitamin B-6,Vitamin B-6,G,0.000175,0.000191,0.004233,0.00388235
1,"Carbohydrate, by difference",Vitamin B-6,G,0.00017,6.3e-05,0.0018800000000000002,0.00166597
20,Vitamin B-6,Vitamin B-6,G,4.4e-05,6.6e-05,0.0043100000000000005,0.00218838
20,Vitamin B-6,Vitamin B-6,G,4.4e-05,7.9e-05,0.0043100000000000005,0.00218838
20,Vitamin B-6,Vitamin B-6,G,4.4e-05,8.5e-05,0.0043100000000000005,0.00218838
20,Vitamin B-6,Vitamin B-6,G,0.000407,0.000268,0.0043100000000000005,0.00218838
20,Vitamin B-6,Vitamin B-6,G,3.7e-05,7.9e-05,0.0043100000000000005,0.00218838
20,Vitamin B-6,Vitamin B-6,G,0.000436,5.2e-05,0.0043100000000000005,0.00218838
1,Vitamin B-6,Vitamin B-6,G,3e-06,0.0,0.0018800000000000002,0.00166597
16,Vitamin B-6,Vitamin B-6,G,0.000574,0.000618,0.001774,0.0015919999999999999
16,Vitamin B-6,Vitamin B-6,G,0.000461,0.00034,0.001774,0.0015919999999999999
20,Vitamin B-6,Vitamin B-6,G,0.000736,0.000132,0.0043100000000000005,0.00218838
9,Vitamin B-6,Vitamin B-6,G,0.000367,0.000209,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,3.4e-05,2.131e-05,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,4.5e-05,3.544e-05,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,4.9e-05,3.175e-05,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,3.7e-05,2.788e-05,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,5.1e-05,3.275e-05,0.00107,0.00074894
11,Vitamin B-6,Vitamin B-6,G,0.00011,9.888e-05,0.004233,0.00388235
11,Vitamin B-6,Vitamin B-6,G,0.000293,0.0001593,0.004233,0.00388235
11,Vitamin B-6,Vitamin B-6,G,0.000104,7.683e-05,0.004233,0.00388235
16,Vitamin B-6,Vitamin B-6,G,4.9e-05,5.525e-05,0.001774,0.0015919999999999999
