food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
11,Vitamin B-6,Vitamin B-6,G,0.000769,0.000582
16,Vitamin B-6,Vitamin B-6,G,0.000441,0.0003805
12,Vitamin B-6,Vitamin B-6,G,0.000103,0.00008375
12,Vitamin B-6,Vitamin B-6,G,0.000473,0.0003926
1,Vitamin B-6,Vitamin B-6,G,0.000046,0.0000466
1,Vitamin B-6,Vitamin B-6,G,0.000056,0.00003925
1,Vitamin B-6,Vitamin B-6,G,0.000035,0.000031
1,Vitamin B-6,Vitamin B-6,G,0.000041,0.0000385
11,Vitamin B-6,Vitamin B-6,G,0.000042,0.00004013
11,Vitamin B-6,Vitamin B-6,G,0.0001,0.00007413
11,Vitamin B-6,Vitamin B-6,G,0.00009,0.00007088
12,Vitamin B-6,Vitamin B-6,G,0.000094,0.0002546
12,Vitamin B-6,Vitamin B-6,G,0.000137,0.0001008
12,Vitamin B-6,Vitamin B-6,G,0.000537,0.0006603
12,Vitamin B-6,Vitamin B-6,G,0.00021,0.0001711
20,Vitamin B-6,Vitamin B-6,G,0.000119,0.0001346
9,Vitamin B-6,Vitamin B-6,G,0.000112,0.0001101
9,Vitamin B-6,Vitamin B-6,G,0.000049,0.00004888
11,Vitamin B-6,Vitamin B-6,G,0.000141,0.000121
11,Vitamin B-6,Vitamin B-6,G,0.000074,0.00005175
11,Vitamin B-6,Vitamin B-6,G,0.000124,0.0001384
11,Vitamin B-6,Vitamin B-6,G,0.000209,0.0001789
20,Vitamin B-6,Vitamin B-6,G,0.000582,0.0001699
20,Vitamin B-6,Vitamin B-6,G,0.000396,0.0001995
20,Vitamin B-6,Vitamin B-6,G,0.00021,0.0002776
20,Vitamin B-6,Vitamin B-6,G,0.000384,0.0001918
20,Vitamin B-6,Vitamin B-6,G,0.000477,0.0001606
20,Vitamin B-6,Vitamin B-6,G,0.000164,0.00005788
16,Vitamin B-6,Vitamin B-6,G,0.000049,0.00005525
1,"Calcium, Ca","Calcium, Ca",G,0.125,0.126
1,"Calcium, Ca","Calcium, Ca",G,0.122,0.132
1,"Calcium, Ca","Calcium, Ca",G,0.12,0.126
1,"Calcium, Ca","Calcium, Ca",G,1.045,0.866
1,"Calcium, Ca","Calcium, Ca",G,0.125,0.126
1,"Calcium, Ca","Calcium, Ca",G,0.122,0.132
1,"Calcium, Ca","Calcium, Ca",G,0.12,0.126
1,"Calcium, Ca","Calcium, Ca",G,0.113,0.123
1,"Calcium, Ca","Calcium, Ca",G,1.375,1.498
16,"Calcium, Ca","Calcium, Ca",G,0.038,0.041
11,"Calcium, Ca","Calcium, Ca",G,0.037,0.036
12,"Calcium, Ca","Calcium, Ca",G,0.268,0.273
11,"Calcium, Ca","Calcium, Ca",G,0.15,0.254
1,"Calcium, Ca","Calcium, Ca",G,0.062,0.055
1,"Calcium, Ca","Calcium, Ca",G,0.008,0.009
1,"Calcium, Ca","Calcium, Ca",G,0.062,0.104
11,"Calcium, Ca","Calcium, Ca",G,0.031,0.028
11,"Calcium, Ca","Calcium, Ca",G,0.057,0.054
1,"Calcium, Ca","Calcium, Ca",G,0.853,0.884
1,"Calcium, Ca","Calcium, Ca",G,1.045,0.866
9,"Calcium, Ca","Calcium, Ca",G,0.014,0.016
12,"Calcium, Ca","Calcium, Ca",G,0.07,0.078
18,"Calcium, Ca","Calcium, Ca",G,0.144,0.211
2,"Calcium, Ca","Calcium, Ca",G,0.063,0.063
9,"Calcium, Ca","Calcium, Ca",G,0.034,0.035
9,"Calcium, Ca","Calcium, Ca",G,0.006,0.002
1,"Calcium, Ca","Calcium, Ca",G,0.71,0.707
1,"Calcium, Ca","Calcium, Ca",G,0.111,0.103
1,"Calcium, Ca","Calcium, Ca",G,0.697,0.693
1,"Calcium, Ca","Calcium, Ca",G,0.244,0.22
1,"Calcium, Ca","Calcium, Ca",G,0.134,0.119
1,"Calcium, Ca","Calcium, Ca",G,0.289,0.27
1,"Calcium, Ca","Calcium, Ca",G,0.11,0.111
1,"Calcium, Ca","Calcium, Ca",G,0.097,0.097
7,"Calcium, Ca","Calcium, Ca",G,0.005,0.005
1,"Calcium, Ca","Calcium, Ca",G,0.207,0.224
1,"Calcium, Ca","Calcium, Ca",G,0.125,0.126
2,"Calcium, Ca","Calcium, Ca",G,0.024,0.05
1,"Calcium, Ca","Calcium, Ca",G,0.122,0.132
1,"Calcium, Ca","Calcium, Ca",G,0.12,0.126
7,"Calcium, Ca","Calcium, Ca",G,0.015,0.035
7,"Calcium, Ca","Calcium, Ca",G,0.021,0.012
1,"Calcium, Ca","Calcium, Ca",G,0.113,0.123
